https://github.com/common-workflow-language/common-workflow-language/wiki/Existing-Workflow-systems,,,,,,,,,,,workflow,4069,,,,,,,,,,,,,,,
https://github.com/pditommaso/awesome-pipeline,,,,,,,,,,,pipeline,2067,,,,,,,,,,,,,,,
https://github.com/meirwah/awesome-workflow-engines,,,0.00%,1.44%,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,
,,,0,7,,0,,0,2239,,,,,,,,,,,,,,,,,,
Totals:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number:,Name:,Link:,Dead:,Containers required:,Interface:,Commercial:,Backend:,Narrow scope:,Ticket count:,,,,,,,,,,,,,,,,,,
381,nFlow,https://github.com/NitorCreations/nFlow,,,Java,,SQL,,2,,,,,,,Dask,http://dask.pydata.org/en/latest/,Python,Server,288,,,,,,,
15,Ruffus,https://github.com/cgat-developers/ruffus,,,Python,,Filesystem,,1,,,,,,,JAWS,https://jaws-docs.readthedocs.io/en/latest/,WDL,Server,228,,,,,,,
47,Makeflow,http://ccl.cse.nd.edu/software/makeflow/,,,make,,Filesystem,,1,,,,,,,ADIOS,http://csmd.ornl.gov/adios,XML,Process,204,,,,,,,
91,Toil,https://github.com/DataBiosphere/toil,,,Python,,Filesystem,,1,,,,,,,Ray,https://github.com/ray-project/ray,Python,Process,200,machine learning driver,,,,,,
215,Ginflow,https://ginflow.inria.fr/,,,"""Java"",""JSON"",""GUI""",,"""ActiveMQ"",""Zookeeper""",,1,,,,,,,GNU Parallel,https://www.gnu.org/software/parallel/,Shell,Process,153,,,,,,,
258,RADICAL.EnTK,https://github.com/radical-cybertools/radical.entk,,,Python,,MongoDB,,1,some uncertainty on backend,,,,,,Parsl,http://parsl-project.org/,Python,Process,68,,,,,,,
276,MyQueue,https://gitlab.com/myqueue/myqueue,,,Shell,,Slurm,,1,,,,,,,Joblib,https://joblib.readthedocs.io/en/latest/,Python,Filesystem,46,dependency for machine learning apps,,,,,,
288,Maestro,https://github.com/LLNL/maestrowf,,,YAML,,Process,,1,crosstalk with MAESTRO,,,,,,Snakemake,https://snakemake.github.io/,Shell,Filesystem,40,,,,,,,
309,Cloud Build,https://cloud.google.com/build,,,,,Cloud,,1,INC0204426,,,,,,Cromwell,https://github.com/broadinstitute/cromwell,WDL,Filesystem,40,,,,,,,
370,HyperQueue,https://github.com/It4innovations/hyperqueue,,,Shell,,Server,,1,,,,,,,Qdo,https://bitbucket.org/berkeleylab/qdo,Python,SQL,40,bad for slurm?,,,,,,
